time_window,device,absolute_deviation,standard_deviation,arithmetic_average,RMS,median,variance,activity
,accZ,0.006200000000000006,0.007810249675906661,503,0.5030606325285254,0.5,6.10000000000001E-05,lying_down
,girX,1.0466000000000002,1.2364258974964895,39,1.237040823901944,-0.49,1.5287489999999997,lying_down
,girY,0.9809999999999999,1.2434906513520718,-2579,2.8631294067855193,-2.52,1.546269,lying_down
,girZ,0.8476000000000001,1.0236425157250943,-0.026000000000000016,1.0239726558849118,-0.29500000000000004,1.047844,lying_down
19_06_47,accX,0.006199999999999961,0.007810249675906661,0.7629999999999999,0.763039972740616,0.76,6.10000000000001E-05,lying_down
,accY,0.004200000000000026,0.004582575694955844,0.35300000000000004,0.3530297437893867,0.35,2.1E-05,lying_down
,accZ,0.010000000000000009,0.011135528725660053,504,0.5041230008638764,505,0.000124,lying_down
,girX,0.31920000000000004,0.3749519969276067,-441,0.5788523127707101,-355,0.14058900000000002,lying_down
,girY,0.9271999999999998,1.234710087429434,-1871,2.241684634376566,-1.6,1.5245090000000001,lying_down
,girZ,0.9501999999999999,1.379971376514745,33,1.3803658935224385,-0.15,1.904321,lying_down
19_07_14,accX,0.006800000000000006,0.008000000000000007,766,0.766041774317824,0.77,6.40000000000001E-05,lying_down
,accY,0.00799999999999998,0.009165151389911664,346,0.34612136599753557,345,8.39999999999997E-05,lying_down
,accZ,0.007999999999999985,0.009219544457292896,0.5149999999999999,0.5150825176610054,0.51,8.50000000000002E-05,lying_down
,girX,0.26280000000000003,0.30219861018873,-0.5640000000000001,0.6398593595470805,-425,0.09132399999999999,lying_down
,girY,0.9276,1.0980637504261763,-1.6440000000000001,1.9769876074472497,-1185,1.2057440000000001,lying_down
,girZ,1178,1.7132833974564743,0.43999999999999995,1.7688810022158077,355,2.9353399999999996,lying_down
19_07_41,accX,0.006200000000000006,0.007810249675906661,757,0.7570402895487135,0.76,6.10000000000001E-05,lying_down
,accY,0.00800000000000003,0.014142135623730947,0.33999999999999997,0.34029399054347115,0.34,0.0002,lying_down
,accZ,12,0.016852299546352704,526,0.526269892735657,525,0.000284,lying_down
,girX,0.24700000000000005,0.3070846788753877,-0.32700000000000007,0.4485866694408116,-0.32999999999999996,0.094301,lying_down
,girY,1.1864,1.6410313830027747,-434,1.6974510302214907,-885,2.6929839999999996,lying_down
,girZ,0.35,0.4804955775030609,-0.11200000000000002,0.49337612427031774,-0.06,0.230876,lying_down
19_08_08,accX,0.005599999999999983,0.006403124237432854,0.7370000000000001,0.7370278149432353,0.74,4.10000000000001E-05,lying_down
,accY,0.0036000000000000034,0.005385164807134509,301,0.30104816890325037,0.3,2.90000000000001E-05,lying_down
,accZ,0.004800000000000038,0.005999999999999984,0.5720000000000001,0.5720314676658969,0.57,3.59999999999998E-05,lying_down
,girX,0.1396,0.19150979087242512,-0.34800000000000003,0.397215306855111,-325,0.036676,lying_down
,girY,1.0816,1.3725246810167022,-736,1.557408103227924,-1165,1.883824,lying_down
,girZ,0.5970000000000001,0.7936403467566402,-305,0.8502293808143777,-115,0.6298650000000001,lying_down
19_08_35,accX,0.018000000000000006,0.02529822128134704,0.79,0.7904049594986103,0.79,0.00064,lying_down
,accY,0.007199999999999962,0.0097979589711327,0.28800000000000003,0.28816661846924596,0.29,9.59999999999998E-05,lying_down
,accZ,0.026000000000000006,0.03310589071449369,508,0.5090775972285561,0.51,0.0010959999999999995,lying_down
,girX,0.3864,0.4664075471087491,-0.28800000000000003,0.5481605604200287,-0.31,0.21753600000000003,lying_down
,girY,3.1608000000000005,4.291242710451135,-736,4.353901698476896,-1375,18.414764,lying_down
,girZ,0.9892,1.4196816544563786,-728,1.59545604765534,-255,2.015496,lying_down
19_09_02,accX,0.01839999999999996,0.021470910553583872,0.8030000000000002,0.8032869972805485,0.81,0.000460999999999999,lying_down
,accY,0.007999999999999997,0.009165151389911672,0.27599999999999997,0.2761521319852519,275,8.39999999999998E-05,lying_down
,accZ,0.022200000000000015,0.027946377224964253,503,0.5037757437590659,0.5,0.000781000000000001,lying_down
,girX,225,0.26487921775783013,-543,0.6041605746819301,-505,0.070161,lying_down
,girY,2.2326,2.6554187993610348,-2149,3.4160576693024374,-1.5150000000000001,7.0512489999999985,lying_down
