-----------------------------------------------

time_window,device,absolute_deviation,standard_deviation,arithmetic_average,RMS,median,variance,activity
14:38:32,accX,0.26,0.2988645178002903,0.45,0.5402036652967102,425,0.08932000000000001,jumping
,accY,0.23360000000000003,0.30012663993721056,0.057999999999999996,0.3056795707926848,-35,0.09007600000000002,jumping
,accZ,0.16,0.17594317264389656,708,0.7295340979008452,0.74,0.030955999999999994,jumping
,girX,5.8104,8.160404646829715,-4124,9.14328059287256,-5.58,66.592204,jumping
,girY,15.102800000000002,20.62180130347492,8599,22.34281741410425,3725,425.25868899999995,jumping
,girZ,14.761200000000002,17.996120581947654,2.6879999999999997,18.195760495236247,-3.95,323.860356,jumping
14:39:00,accX,0.18159999999999998,0.20492925608609425,0.6479999999999999,0.6796322535018479,0.5700000000000001,0.04199599999999999,sitting
,accY,0.24800000000000005,0.2641666140904259,0.33399999999999996,0.42584034566959483,0.29,0.069784,sitting
,accZ,0.13479999999999998,0.16823792675850474,516,0.5427338205787438,0.54,0.028304000000000003,sitting
,girX,21438,27.642035471361368,-13.245000000000001,30.65146244471869,-0.07500000000000001,764.082125,sitting
,girY,26.1846,47.575774728321555,-7.966999999999999,48.238236182513965,-0.07999999999999999,2263.454341,sitting
,girZ,17.1664,28.936986522442172,7669,29.935977518698135,1.4,837.3491889999999,sitting
14:39:29,accX,0.1306,0.1537823136774837,751,0.7665833288038554,0.84,0.023648999999999996,lying_down
,accY,0.1424,0.2315685643605367,156,0.2792131802046601,0.18,0.05362400000000002,lying_down
,accZ,0.08560000000000004,0.11244554237496476,536,0.5476677825105289,485,0.012643999999999997,lying_down
,girX,10.095599999999997,16.867890087382,-6202,17.97193701302116,-0.31,284.525716,lying_down
,girY,21.839599999999997,32.32967095409416,-14.035999999999998,35.245097815157216,-1045,1045.207624,lying_down
,girZ,4.9872,9.076774812674378,-0.6970000000000001,9.103496580984693,0.74,82.387841,lying_down
14:39:57,accX,0.0116,0.016763054614240196,843,0.8431666501943728,0.84,0.000281,lying_down
,accY,0.005399999999999997,0.006999999999999995,179,0.17913681921927718,0.18,4.89999999999999E-05,lying_down
,accZ,0.0172,0.022449944320643664,0.48599999999999993,0.4865182422068056,0.48,0.000504000000000001,lying_down
,girX,0.21399999999999997,0.29893143026453406,-0.13999999999999999,0.3300908965724441,-0.12,0.08935999999999998,lying_down
,girY,0.5449999999999999,0.7196839584150809,615,0.9466625586765328,0.45,0.5179449999999999,lying_down
,girZ,0.29639999999999994,0.3874480610352825,1.0219999999999998,1.092977584399607,905,0.150116,lying_down
14:40:25,accX,0.005599999999999983,0.006403124237432854,0.8470000000000001,0.8470242027238655,0.85,4.10000000000001E-05,lying_down
,accY,0.006000000000000008,0.00774596669241483,0.16999999999999998,0.17017637908946118,0.17,5.99999999999999E-05,lying_down
,accZ,0.005600000000000005,0.006633249580710805,484,0.48404545241123786,0.48,4.40000000000001E-05,lying_down
,girX,0.10100000000000002,0.1322157328006013,-0.24299999999999997,0.27664056101736056,-0.22999999999999998,0.017481,lying_down
,girY,0.3684,0.5848427138983608,0.30300000000000005,0.6586729082025463,325,0.342041,lying_down
,girZ,0.09599999999999997,0.12157302332343307,0.8800000000000001,0.888358035929208,0.9,0.014780000000000001,lying_down
14:40:54,accX,0.006000000000000005,0.006633249580710806,844,0.8440260659482027,845,4.40000000000001E-05,lying_down
,accY,0.0047999999999999935,0.006000000000000005,0.16199999999999998,0.16211107303327557,0.16,3.60000000000001E-05,lying_down
,accZ,0.0050000000000000044,0.0050000000000000044,485,0.48502577251111095,485,2.5E-05,lying_down
,girX,0.2064,0.253881862290318,-182,0.3123779761762983,-0.13,0.064456,lying_down
